ID	adj.P.Val	P.Value	logFC	Gene.symbol
217731_s_at	0.746	0.17583224	0.16130317	ITM2B
201873_s_at	0.746	0.17583344	0.33659484	ABCE1
227306_at	0.746	0.17583885	0.14725238	ACER2
236304_at	0.746	0.17585839	-0.08160419	LINC00702
205715_at	0.746	0.17587531	0.23145854	BST1
225916_at	0.746	0.17587828	0.11407218	LOC100506639///ZNF131
201956_s_at	0.746	0.17588543	-0.17583763	GNPAT
220719_at	0.746	0.17592208	-0.10501478	
1559578_at	0.746	0.17592933	-0.11428417	
207434_s_at	0.746	0.17592979	0.21073808	FXYD6-FXYD2///FXYD2
243169_at	0.746	0.17593313	0.67585842	
224626_at	0.746	0.17594752	-0.21141154	SLC35A4
212933_x_at	0.746	0.17594861	-0.11273388	SNORD68///RPL13
230697_at	0.746	0.17595984	0.0885933	BBS5
211863_x_at	0.746	0.17598179	0.15353933	HFE
207061_at	0.746	0.17598311	-0.14994137	ERN1
222476_at	0.746	0.17602024	0.13313854	CNOT6
233186_s_at	0.746	0.17602211	-0.20096297	BANP
218427_at	0.746	0.17603071	-0.16540263	SDCCAG3
233695_s_at	0.746	0.17603389	-0.14479593	CECR2
225913_at	0.746	0.17604791	0.2344508	PEAK1
237473_at	0.746	0.1761052	-0.11669592	PPIEL
236116_at	0.746	0.17614272	-0.09587604	
237478_at	0.746	0.17616548	-0.14603556	LOC399900
219600_s_at	0.746	0.17618865	-0.28863685	TMEM50B
217909_s_at	0.746	0.17618949	0.3058292	MLX
226583_at	0.746	0.17623651	-0.20784973	C12orf76
225488_at	0.746	0.17624682	-0.12999507	DERL1
211645_x_at	0.746	0.17627388	0.59411942	
242602_x_at	0.747	0.17635726	0.18157952	ZNF254
222888_at	0.747	0.17636695	-0.11840909	CCNJ
230999_at	0.747	0.17640049	-0.09360242	ST3GAL4-AS1
208558_at	0.747	0.17641248	-0.13580474	OR10H1
1558931_at	0.747	0.17642205	-0.10228726	CARMIL1
216608_at	0.747	0.17644098	-0.09995648	DKFZP434A062
212961_x_at	0.747	0.17648359	0.12804625	CXorf40B
1553299_at	0.747	0.17649957	-0.09194312	DUSP5P1
232135_at	0.747	0.17651023	-0.1261365	SAP30L
204442_x_at	0.747	0.17652762	-0.21664375	LTBP4
225056_at	0.747	0.17654104	0.88472617	SIPA1L2
227200_at	0.747	0.17654309	0.32101671	ETV3
1558750_a_at	0.747	0.17655289	0.06790036	LOC100288637///ARHGAP11B
1569648_at	0.747	0.17657544	-0.13682511	DACT2
215913_s_at	0.747	0.17660587	-0.13324609	GULP1
227269_s_at	0.747	0.17660961	-0.11122876	RAB40C
225704_at	0.747	0.17663704	0.17005798	FBRSL1
214070_s_at	0.747	0.17666845	-0.17395403	ATP10B
216191_s_at	0.747	0.17668219	0.15927312	TRDV3
200902_at	0.747	0.17669336	0.24293784	SEP15
242412_at	0.747	0.17670907	0.07018686	LOC101929255
212170_at	0.747	0.17671587	0.12882002	RBM12
217668_at	0.747	0.17673786	-0.09940698	LRRC75B
217406_at	0.747	0.17674649	0.11854995	
1566647_s_at	0.747	0.17674678	-0.16947075	LINC01225
217920_at	0.747	0.17679045	-0.20632234	MAN1A2
212367_at	0.747	0.17680508	0.19775152	FEM1B
202843_at	0.747	0.17686124	0.21485777	DNAJB9
1562608_at	0.747	0.1768668	-0.08153697	
209533_s_at	0.747	0.17687574	0.26161554	PLAA
223421_at	0.747	0.17689183	-0.20210061	CYHR1
219022_at	0.747	0.17690504	-0.14880399	C12orf43
229247_at	0.747	0.1769095	-0.17171048	FBLN7
200985_s_at	0.747	0.17696154	0.2339867	CD59
1557406_s_at	0.747	0.17696577	0.09775399	LOC100130111
231031_at	0.747	0.17698728	-0.11267498	FGF7P3
240383_at	0.747	0.17698978	0.32560241	UBE2D3
213150_at	0.747	0.17701472	-0.0949275	HOXA10
226177_at	0.747	0.17703591	-0.19115408	GLTP
1570412_at	0.747	0.17705913	-0.09450822	
204150_at	0.747	0.17706107	-0.30003036	STAB1
224365_s_at	0.747	0.17707272	-0.10035794	TIGD7
1570051_at	0.747	0.1770774	-0.11200838	RNF144A
231080_at	0.747	0.17707996	-0.18027316	CDAN1
201456_s_at	0.747	0.17709	0.21778171	BUB3
223179_at	0.747	0.17709948	-0.20299103	YPEL3
226820_at	0.747	0.17710859	-0.19469492	ZNF362
242274_x_at	0.747	0.17711614	-0.11308148	SLC25A42
239903_at	0.747	0.1771235	-0.06801671	TPBG
238485_at	0.747	0.17712742	-0.17043878	IQCH-AS1
239214_at	0.747	0.17714781	0.09578499	LOC100130458
212125_at	0.747	0.17716357	0.36924938	RANGAP1
222579_at	0.747	0.17717848	-0.21905446	UBA5
202302_s_at	0.747	0.17720739	0.15912225	RSRC2
AFFX-BioB-M_at	0.747	0.17721867	0.33802836	
241328_at	0.747	0.17725094	-0.09165472	ZMAT1
239353_at	0.747	0.17725296	-0.08370127	STK32A
229530_at	0.747	0.17727371	-0.288061	GUCY1A3
244410_at	0.747	0.17732491	-0.10722336	PKHD1
201009_s_at	0.747	0.17733601	0.46089146	TXNIP
208869_s_at	0.748	0.17740567	0.16538469	GABARAPL1
202369_s_at	0.748	0.1774084	0.46550819	TRAM2
205845_at	0.748	0.17742317	0.25366722	CACNA1H
237231_at	0.748	0.1774275	-0.08556644	
209081_s_at	0.748	0.17743545	-0.2245525	COL18A1
233985_x_at	0.748	0.17744563	-0.13723143	PPP1R9A
221702_s_at	0.748	0.17746263	-0.17892368	TM2D3
214035_x_at	0.748	0.17746535	-0.16714024	
206281_at	0.748	0.17753469	-0.10030163	ADCYAP1
200782_at	0.748	0.17753623	0.3707608	ANXA5
237689_at	0.748	0.17755471	0.06801624	
209198_s_at	0.748	0.17756658	-0.08463225	SYT11
212220_at	0.748	0.1775807	0.16834242	PSME4
1557601_s_at	0.748	0.1775825	0.11497409	LOC100132731///KIAA1257
207267_s_at	0.748	0.17760255	-0.08421202	RIPPLY3
221275_s_at	0.748	0.17760306	0.0892483	
219148_at	0.748	0.17761995	-0.33283408	PBK
231371_at	0.748	0.17762881	-0.13503286	TDRD10
218892_at	0.748	0.17763149	-0.13307833	DCHS1
204978_at	0.748	0.17765027	-0.10697497	CLASRP
219824_at	0.748	0.17766069	-0.11594134	SLC13A4
236222_at	0.748	0.1776813	-0.19103118	MAATS1
231918_s_at	0.748	0.17771148	0.47953507	GFM2
226793_at	0.748	0.17774243	-0.15248325	LINC00294
203894_at	0.748	0.17777142	-0.13813382	TUBG2
1559239_s_at	0.748	0.17777528	0.2926957	ACAT1
1562802_at	0.748	0.1777937	-0.08946177	LINC00210
221355_at	0.748	0.17780096	-0.13113723	CHRNG
227307_at	0.748	0.17784155	-0.16861432	TSPAN18
225479_at	0.748	0.17786255	-0.16710573	LRRC58
1564548_at	0.748	0.17786769	-0.08889644	LOC642620
207797_s_at	0.748	0.17789629	-0.08132581	LRP2BP
243825_at	0.748	0.17793276	-0.14266734	BCL6B
232011_s_at	0.748	0.17793317	0.31164499	MAP1LC3A
241440_at	0.748	0.17793573	0.10257068	LOC440982///ZIC1
214341_at	0.748	0.17793902	-0.14184877	AP1G2
213103_at	0.748	0.17794357	0.26001589	STARD13
227802_at	0.748	0.1779799	0.45697901	RUFY3
219186_at	0.748	0.17799738	0.15166464	ZBTB7A
1563728_at	0.748	0.17799964	-0.09846304	LINC00032
231321_s_at	0.748	0.17801214	-0.09301203	ACER3
1558577_at	0.748	0.17801615	0.08044401	LOC148709
230141_at	0.748	0.17802782	-0.32872778	ARID4A
230511_at	0.748	0.17804675	0.35515953	CREM
221758_at	0.748	0.17806277	-0.21088537	ARMC6
214180_at	0.748	0.17807889	-0.28749589	MAN1C1
203004_s_at	0.748	0.17808282	-0.13917497	MEF2D
242304_at	0.748	0.17813006	0.1428896	LOC102724112///PYM1
632_at	0.748	0.17815475	-0.1045001	GSK3A
218846_at	0.748	0.17816521	-0.18921767	MED23
219540_at	0.748	0.17818235	0.38803947	ZNF267
1560859_at	0.748	0.17819054	-0.093199	
226695_at	0.748	0.17819961	-0.11972102	PRRX1
214459_x_at	0.748	0.17820169	0.2005849	HLA-C
229082_at	0.748	0.1782051	-0.24354171	CCDC125
1556856_at	0.748	0.17820883	-0.12597177	
205171_at	0.748	0.17821158	0.20564499	PTPN4
244199_at	0.748	0.17827701	-0.12976133	TWF1
1565829_at	0.748	0.17829114	-0.10531073	CEP295
AFFX-BioDn-3_at	0.748	0.17830426	0.31231394	
219886_at	0.748	0.17831802	-0.13397457	CEP97
221545_x_at	0.748	0.17832222	-0.18664838	MED16
203205_at	0.748	0.17832454	-0.15985391	KDM4A
224271_x_at	0.748	0.17832801	-0.10003706	FRMD8P1
1552976_at	0.748	0.1783444	-0.11386697	DNAJB13
231878_at	0.748	0.17835571	-0.12493656	PAGR1
219681_s_at	0.748	0.17837129	0.38797264	RAB11FIP1
205762_s_at	0.748	0.17837237	-0.10418938	DUS4L
238399_x_at	0.748	0.17837809	0.06581112	
1552619_a_at	0.748	0.17837957	-0.09665474	ANLN
231545_at	0.748	0.17838761	-0.12818019	
213849_s_at	0.748	0.17841557	-0.10205447	PPP2R2B
236978_at	0.748	0.17843122	0.24554788	
227105_at	0.748	0.17843357	0.25365616	CSPP1
213872_at	0.748	0.17845339	0.75573993	
224862_at	0.748	0.17846868	0.22724819	GNAQ
240416_at	0.748	0.17846964	0.08351419	
201767_s_at	0.748	0.17850533	-0.16577003	ELAC2
214638_s_at	0.748	0.17851661	0.10861848	CCNT2
AFFX-r2-Bs-phe-3_at	0.748	0.17853317	-0.08681319	
1559583_at	0.748	0.17857041	0.1232666	CD276
1558785_a_at	0.748	0.17859185	-0.13589643	RGS5
241266_at	0.748	0.17860436	-0.09955676	
227095_at	0.748	0.17861291	0.13634142	LEPROT
240505_at	0.748	0.17861461	-0.1291425	
202915_s_at	0.748	0.17862282	0.23420165	FAM20B
1554018_at	0.748	0.17864814	0.19325609	GPNMB
213820_s_at	0.748	0.1786608	-0.41233554	STARD5
241819_at	0.748	0.17867559	0.12768215	TNFSF8
1555284_at	0.748	0.1786774	-0.08666211	ALS2
229437_at	0.748	0.17869304	0.29023475	MIR155///MIR155HG
229060_at	0.748	0.17871067	0.32975413	YPEL2
205170_at	0.748	0.17871137	-0.15253748	STAT2
238072_at	0.748	0.17872951	-0.14688324	CLK3
1564670_at	0.748	0.17873524	0.11034175	RAMP2-AS1
224724_at	0.748	0.17874688	0.5409112	SULF2
223290_at	0.748	0.17877604	-0.34119794	PDXP///SH3BP1
200609_s_at	0.748	0.17877985	0.15775088	WDR1
220474_at	0.748	0.17878591	-0.09232513	SLC25A21
238514_at	0.748	0.17884668	-0.15762927	TMEM25
233545_at	0.748	0.17886029	-0.13979709	
241290_at	0.748	0.17889554	-0.06836875	LOC101927342
218697_at	0.748	0.17890311	-0.17918528	NCKIPSD
235935_at	0.748	0.17891437	0.09614224	LRRC73
224139_at	0.748	0.17892307	-0.1054331	SHANK2-AS3
1556777_a_at	0.748	0.1789251	-0.10155704	LOC101928238
232379_at	0.748	0.17892542	0.13670103	SKIL
221315_s_at	0.748	0.17893644	-0.11204596	FGF22
1569410_at	0.748	0.17896005	0.09376235	FLG2
1554409_at	0.748	0.17896115	0.09085316	RCC1L
216899_s_at	0.748	0.17898269	0.31502231	SKAP2
237352_at	0.748	0.17903307	-0.08496065	
1552381_at	0.748	0.17903453	0.10177565	SRSF12
201491_at	0.748	0.17903519	-0.21649062	AHSA1
241912_at	0.748	0.17903729	0.0809204	ZNF814
240557_at	0.748	0.17905972	0.27820074	TSC22D2
227349_at	0.748	0.17911217	-0.09884893	HELLS
240853_at	0.748	0.17911443	-0.15047557	
218377_s_at	0.748	0.1791301	-0.16307584	RWDD2B
1568618_a_at	0.748	0.17914733	0.39746896	GALNT1
228733_at	0.748	0.1791521	-0.14120222	PUSL1
242395_at	0.748	0.17915875	0.10294294	
210642_at	0.748	0.17918502	-0.12660428	CCIN
205643_s_at	0.748	0.1792041	-0.12361733	PPP2R2B
244111_at	0.748	0.17926943	-0.50319821	KRT222
220522_at	0.748	0.17927081	-0.09160531	CRB1
1558651_at	0.748	0.17928139	-0.08502487	GVQW2
222138_s_at	0.748	0.17932004	-0.23530026	WDR13
229684_s_at	0.748	0.17933381	-0.12746901	ZNF644
221350_at	0.748	0.17937496	-0.14193873	HOXC8
1561279_at	0.748	0.17939319	-0.07895122	
232451_at	0.748	0.17940047	0.40244039	
244018_at	0.748	0.17940408	0.12933631	
241926_s_at	0.749	0.17943897	0.15691613	ERG
225886_at	0.749	0.17944838	0.27331745	DDX5
226845_s_at	0.749	0.17950812	-0.1691136	COPS9
203771_s_at	0.749	0.17951942	0.25156912	BLVRA
1560964_at	0.749	0.17952801	-0.1129331	
240848_at	0.749	0.1795298	-0.09458769	
206525_at	0.749	0.17955685	0.07072881	GABRR1
242214_at	0.749	0.17956097	0.44088626	RPS27A
1553074_at	0.749	0.1795676	0.1013135	ASB11
202299_s_at	0.749	0.17958152	0.16286182	LAMTOR5
212924_s_at	0.749	0.17959261	-0.10951183	LSM4
1557652_a_at	0.749	0.17960433	-0.07005415	CCDC13-AS1
217473_x_at	0.749	0.17968783	0.18469486	SLC11A1
226400_at	0.749	0.1797265	0.48941382	CDC42
1564175_at	0.749	0.17975236	-0.06449261	LINC00960
210966_x_at	0.749	0.17975386	-0.13908247	LARP1
212879_x_at	0.749	0.17977192	-0.10588046	PIAS4
240455_at	0.749	0.17978838	-0.12588879	
210999_s_at	0.749	0.17979774	0.20250625	GRB10
216774_at	0.749	0.17982383	-0.13619698	
218112_at	0.749	0.17983588	-0.17107427	MRPS34
203893_at	0.749	0.1798729	0.2026995	AK6
207059_at	0.749	0.17987624	-0.11390424	PAX9
201890_at	0.749	0.17988189	-0.57447894	RRM2
214028_x_at	0.749	0.17988398	-0.1653982	TDRD3
212335_at	0.749	0.17989782	0.49954389	GNS
236484_at	0.749	0.17995014	-0.10210148	
219940_s_at	0.749	0.17998809	-0.12478196	PCID2
213534_s_at	0.749	0.17999371	0.2317936	PASK
223837_at	0.749	0.18000031	0.1093079	GULP1
1560854_s_at	0.749	0.18005165	-0.10950234	ZNF107
222111_at	0.749	0.18007419	0.22912973	FAM63B
208922_s_at	0.749	0.18008782	-0.14508547	NXF1
228685_at	0.749	0.18011948	0.13823103	IL17RA
1569502_s_at	0.749	0.18012046	-0.13288386	TP73-AS1
236559_at	0.749	0.1801316	-0.09486398	YWHAH
235336_at	0.749	0.18013737	0.09212162	
204228_at	0.749	0.18017653	-0.12859176	PPIH
214941_s_at	0.749	0.18023473	0.24422838	PRPF40A
232216_at	0.749	0.18023823	0.25281204	YME1L1
244012_x_at	0.749	0.18024228	-0.1204118	XPO1
214381_at	0.749	0.18025049	-0.0828226	LOC441601
203123_s_at	0.749	0.18025771	-0.24717593	SLC11A2
209770_at	0.749	0.1802727	-0.21314013	BTN3A1
218030_at	0.749	0.18029104	-0.13378616	GIT1
233129_at	0.749	0.18030547	-0.14790442	
209248_at	0.749	0.18031761	0.17609566	GHITM
234291_s_at	0.749	0.18031836	-0.11908568	SLC6A20
211766_s_at	0.749	0.18032248	-0.09626591	PNLIPRP2
214870_x_at	0.749	0.18032412	-0.14999474	LOC102724993///LOC101930075///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1
219152_at	0.749	0.18032626	-0.1102066	PODXL2
239695_at	0.749	0.18033392	0.16232312	JAK1
225216_at	0.749	0.18035512	0.14291105	FAM199X
1553944_at	0.749	0.18036628	0.21807184	MIA2///CTAGE5
212808_at	0.749	0.18036685	-0.13600441	NFATC2IP
1566882_at	0.749	0.18037949	-0.08506101	
209268_at	0.749	0.18040838	-0.30493898	VPS45
209653_at	0.749	0.18041052	0.2641803	KPNA4
209235_at	0.749	0.18041216	-0.12391778	CLCN7
211054_at	0.749	0.180421	-0.09276888	INVS
241541_at	0.749	0.18043481	0.14956884	MIB2
232619_at	0.749	0.18044822	-0.11568674	ACTL10
209229_s_at	0.749	0.18046811	-0.14863479	PPP6R1
237430_at	0.749	0.18054456	-0.08389546	
201659_s_at	0.749	0.18055816	0.18560223	ARL1
223969_s_at	0.749	0.18055983	-0.10228592	RETNLB
229018_at	0.749	0.18056308	-0.10856689	METTL25
202477_s_at	0.749	0.18057727	-0.14913145	TUBGCP2
236833_at	0.749	0.18058192	-0.11611157	TTC16
225051_at	0.749	0.18058229	-0.20264293	EPB41
206630_at	0.749	0.18058475	-0.09023741	TYR
1555846_a_at	0.749	0.18060406	-0.25155465	
221923_s_at	0.749	0.1806124	-0.19075886	NPM1
240302_at	0.749	0.18061743	-0.12162997	
237323_at	0.749	0.1806281	0.11220222	HKDC1
200607_s_at	0.749	0.1806713	0.28261086	RAD21
234042_at	0.749	0.18072428	0.12334647	TAS2R45///TAS2R43
206688_s_at	0.749	0.18073694	-0.1044131	CPSF4
234771_at	0.749	0.18073868	-0.10826432	DKFZp547J222
228060_at	0.749	0.1808053	-0.14365585	SLC35F1
222226_at	0.749	0.18082593	-0.14717436	SAA3P
239877_at	0.749	0.18085937	-0.09870437	LOC157740
204120_s_at	0.749	0.18086639	0.35495289	ADK
1557703_at	0.749	0.18086886	-0.08023716	MARCH7
200881_s_at	0.749	0.18087151	0.26160736	DNAJA1
223276_at	0.749	0.18089867	0.34736894	SMIM3
231417_at	0.749	0.18091108	0.07460164	
201663_s_at	0.749	0.18091594	0.24906703	SMC4
237949_at	0.749	0.18092132	-0.076157	
216546_s_at	0.749	0.1809289	0.3659445	CHI3L1
228597_at	0.749	0.18093433	-0.18359536	MIS18A
204871_at	0.749	0.18094362	-0.14956276	MTERF1
215753_at	0.749	0.18094878	-0.08189963	
220175_s_at	0.749	0.18095096	0.17734403	CBWD7///CBWD6///CBWD3///CBWD5///CBWD2///CBWD1
236424_at	0.749	0.18095994	-0.12981134	CEP250
209805_at	0.749	0.18097073	-0.11925529	PMS2CL///PMS2
206211_at	0.749	0.18097352	0.53772599	SELE
220878_at	0.749	0.18097756	0.55764659	
241397_at	0.749	0.18097896	-0.1017261	
202545_at	0.749	0.18098623	0.15422766	PRKCD
1554321_a_at	0.749	0.18098791	0.30104149	NFS1
222267_at	0.749	0.18098992	0.11149782	TMEM209
204032_at	0.749	0.18100783	-0.17061813	BCAR3
244219_at	0.749	0.18103317	0.12512859	
203992_s_at	0.749	0.18103728	0.38516294	KDM6A
1563042_at	0.749	0.18103933	0.0923489	LOC338694
205919_at	0.749	0.18105969	-0.111382	HBE1
224039_at	0.749	0.18106154	-0.11877354	FAM186B
228513_at	0.749	0.18107724	-0.14562704	TMEM219
228654_at	0.749	0.18107838	-0.14952876	SPIN4
226149_at	0.749	0.18108515	0.25364603	SNORA60///SNORA71E///SNHG11
224369_s_at	0.749	0.18111727	-0.10541011	FBXO38
243495_s_at	0.749	0.18112379	0.73457451	ZNF652
224088_at	0.749	0.18112549	-0.08773234	NMUR2
220005_at	0.749	0.18113305	0.43730088	P2RY13
219288_at	0.749	0.18114598	-0.36498657	C3orf14
239290_at	0.749	0.18116861	-0.08563307	FRMPD4
1569552_at	0.749	0.18122518	0.07645002	PTPN18
226667_x_at	0.749	0.18124387	-0.16458155	EPN1
229228_at	0.749	0.18124581	0.32186569	LOC401317///CREB5
1561187_at	0.749	0.18126108	-0.14985335	
204367_at	0.749	0.18126511	0.24844623	SP2
218021_at	0.749	0.18126542	-0.17454312	DHRS4L2///DHRS4
216077_s_at	0.749	0.18127327	-0.11649539	L3MBTL1
201067_at	0.749	0.18127731	0.16394628	PSMC2
228004_at	0.749	0.18130475	0.30236707	LINC00261
220408_x_at	0.749	0.18131558	-0.15095739	SUPT20H
227332_at	0.749	0.18132744	-0.18683084	PXN-AS1
1554503_a_at	0.749	0.18133035	-0.10315521	OSCAR
235486_at	0.749	0.1813435	-0.13375782	KIAA1549L
233650_at	0.749	0.18134789	0.11080449	CEP63
233516_s_at	0.749	0.18135736	-0.11202156	SPAG17
222684_s_at	0.749	0.18136383	0.24829583	NOL10
234448_at	0.749	0.18138351	0.08344175	
227173_s_at	0.749	0.18138979	0.21524996	BACH2
240978_at	0.749	0.18142941	-0.11030141	
227183_at	0.749	0.18144385	-0.17413888	CARMN///MIR145
228205_at	0.749	0.18144907	-0.12461595	TKT
238494_at	0.749	0.18146939	-0.15229945	TRAF3IP1
220666_at	0.749	0.18148485	-0.10228107	
212597_s_at	0.749	0.18149547	-0.21053844	HMGXB4
216588_at	0.749	0.18154007	-0.06601164	
221375_at	0.749	0.18154294	-0.09423421	OR1G1
214079_at	0.749	0.18154383	-0.94016965	DHRS2
214089_at	0.749	0.18155208	-0.09820168	RPS8
236690_at	0.749	0.18157879	-0.10016414	RHBDD1
231018_at	0.749	0.18159191	-0.27589791	PALM3
223865_at	0.749	0.18160043	0.19801776	SOX6
208848_at	0.749	0.1816278	0.20610814	ADH5
214182_at	0.749	0.1816315	0.74265209	ARF6
237202_at	0.749	0.18163284	-0.14944814	PGPEP1
232731_x_at	0.749	0.18165376	-0.16589733	RAMP2-AS1
214462_at	0.749	0.18168402	0.33503532	SOCS6
217387_at	0.749	0.18170805	0.09170912	CAPN6
216880_at	0.749	0.18174038	-0.07985901	RAD51B
229221_at	0.749	0.18174799	0.23368214	CD44
244170_at	0.749	0.18176682	-0.08075048	RAB3C
214238_at	0.749	0.18177226	0.22047775	GDF7
231681_x_at	0.749	0.18178536	0.09753697	HIST3H2A
216978_x_at	0.749	0.18178918	-0.07998392	
219481_at	0.749	0.18179699	-0.13988781	TTC13
224154_at	0.749	0.18179782	-0.10021828	B3GNT2
216746_at	0.749	0.18180414	-0.08849774	
226322_at	0.749	0.18181375	-0.26182045	TMTC1
1562736_at	0.749	0.18181802	0.12803756	LHX9
1569850_at	0.749	0.1818342	-0.08195926	ADGRL2
227709_at	0.749	0.1818478	0.189876	TPT1-AS1
232950_s_at	0.749	0.18185065	-0.15219593	PITPNM2
234027_at	0.749	0.18185288	0.12979258	CCDC129
229859_at	0.749	0.18186542	-0.11940508	
224424_x_at	0.749	0.1818974	-0.10886546	ACTR3BP2///ACTR3BP5
202692_s_at	0.749	0.1819335	-0.19890482	UBTF
226206_at	0.749	0.18194534	0.41495196	MAFK
1568858_at	0.749	0.18196404	-0.08122744	
235204_at	0.749	0.18202042	0.33894948	ENTPD7
1560279_a_at	0.749	0.1820307	0.08661036	LOC221122
1565484_x_at	0.749	0.18203408	-0.26939544	EGFR
205016_at	0.749	0.18208302	0.2545305	TGFA
208017_s_at	0.749	0.18209293	-0.09623732	MCF2
1553194_at	0.749	0.18209439	-0.09971948	NEGR1
225136_at	0.749	0.18209798	0.21542749	PLEKHA2
202528_at	0.749	0.18211923	-0.13172448	GALE
226603_at	0.749	0.18213646	0.22528781	SAMD9L
44790_s_at	0.749	0.18214127	0.57761561	KIAA0226L
1559640_at	0.749	0.18216284	-0.08943566	ANKFN1
206456_at	0.749	0.18216898	0.08190323	GABRA5
241205_at	0.749	0.18221721	-0.11563852	
222130_s_at	0.749	0.18222348	0.17900336	MRM2
201033_x_at	0.749	0.18222967	-0.12356258	RPLP0
1552754_a_at	0.749	0.18224532	-0.07174254	CADM2
216889_s_at	0.749	0.18225968	-0.12843611	HNF4A
209896_s_at	0.749	0.18227463	0.22498472	PTPN11
230196_x_at	0.75	0.1822928	-0.15829783	ARHGAP23
222885_at	0.75	0.18233315	-0.25436854	EMCN
217762_s_at	0.75	0.18233344	0.32609163	RAB31
231485_at	0.75	0.18236999	-0.09993026	SLIT1-AS1
213925_at	0.75	0.18237824	-0.08550153	STUM
237272_at	0.75	0.18242516	-0.09773758	CCDC37-AS1
1566716_at	0.75	0.18243383	-0.07855107	
214572_s_at	0.75	0.1824965	-0.09674952	INSL3
230093_at	0.75	0.18250569	-0.09876964	RSPH1
227868_at	0.75	0.18251366	0.37757701	LOC154761
235781_at	0.75	0.18251458	-0.07751946	CACNA1B
214886_s_at	0.75	0.18255902	0.10386063	N4BP2L1
207852_at	0.75	0.18261694	0.07587528	CXCL5
238939_at	0.75	0.18263946	-0.13477387	ADD1
1561304_a_at	0.75	0.18266169	-0.15443842	LOC100422781
211086_x_at	0.75	0.18266482	0.0869198	NEK1
218463_s_at	0.75	0.18268689	-0.11704113	MUS81
1554571_at	0.75	0.18274637	0.15214055	APBB1IP
1555816_at	0.751	0.18279835	0.07274367	THSD4
204163_at	0.751	0.18280963	-0.21570334	EMILIN1
219703_at	0.751	0.18281406	-0.14992635	MNS1
1557682_a_at	0.751	0.18288128	-0.1424829	LINC01142
202573_at	0.751	0.1828839	0.11529263	CSNK1G2
1566768_at	0.751	0.18289341	-0.08628943	
235089_at	0.751	0.18291283	-0.15908158	FBXL20
1553852_at	0.751	0.18291475	0.09414525	VPS13B
213610_s_at	0.751	0.18293229	-0.1668261	PHOSPHO2-KLHL23///KLHL23
1552884_at	0.751	0.18295374	-0.09298991	NKX6-3
225248_at	0.751	0.18297038	-0.19036868	SPPL2B
235699_at	0.751	0.18297937	0.08532672	REM2
225277_at	0.751	0.18298287	-0.13929367	SLC39A13
237004_at	0.751	0.18304406	-0.11832724	LOC105371046
1566178_x_at	0.751	0.18305694	-0.13389111	
240125_at	0.751	0.18309122	-0.16140809	
235629_at	0.751	0.18313517	-0.4145257	
242482_at	0.751	0.18315731	-0.20900925	PRKAR1A
235620_x_at	0.751	0.18316146	0.12149196	ZMYM5
244517_x_at	0.751	0.18318278	0.11946843	
209822_s_at	0.751	0.18318505	-0.14168127	VLDLR
211790_s_at	0.751	0.18321098	-0.11002215	KMT2D
1556381_at	0.751	0.18321279	0.09415685	NAA15
204168_at	0.751	0.18322269	-0.14117584	MGST2
225311_at	0.751	0.18323141	-0.13579608	IVD
221608_at	0.751	0.18323165	0.13502451	WNT6
208324_at	0.751	0.18325102	-0.09827104	AKAP13
1556498_at	0.751	0.18327524	0.17293935	FAM69A
202694_at	0.751	0.18329307	0.10279953	STK17A
203498_at	0.751	0.18329909	-0.30700241	RCAN2
216663_s_at	0.751	0.18330609	-0.08860446	ZMYND10
201446_s_at	0.751	0.18331023	-0.27955176	TIA1
226445_s_at	0.751	0.18331141	-0.20224683	TRIM41
202300_at	0.751	0.18332291	0.17565297	LAMTOR5
209220_at	0.751	0.18333583	-0.1520964	GPC3
224018_s_at	0.751	0.18334324	-0.1233279	SCD5
1570099_at	0.751	0.18335255	-0.09525669	
1554884_at	0.751	0.1833621	-0.07007983	PRIM2B///PRIM2
213824_at	0.751	0.18336331	-0.0980319	OLIG2
219598_s_at	0.751	0.18336782	0.12854668	RWDD1
1566499_at	0.751	0.18336943	0.10677245	
231974_at	0.751	0.18338853	-0.118447	KMT2D
204620_s_at	0.751	0.18344499	0.83083495	VCAN
240535_at	0.751	0.1834565	-0.11183366	
244043_at	0.751	0.18349834	-0.13837206	TFDP2
222722_at	0.751	0.18350554	-0.41345135	OGN
211090_s_at	0.751	0.18352837	0.51469488	PRPF4B
1565599_at	0.751	0.18352994	0.12395366	
203938_s_at	0.751	0.183547	-0.13264303	TAF1C
234824_at	0.751	0.18355558	-0.12922696	
1557399_at	0.751	0.18357412	-0.11262199	LOC284009///METTL16
1565737_at	0.751	0.18357641	-0.11009153	SCTR
235994_s_at	0.751	0.18360084	-0.12260638	TINCR
240932_at	0.751	0.18361155	-0.09620541	UBN2
239485_at	0.751	0.1836151	0.12018752	CDH4
1558295_a_at	0.751	0.18363662	-0.09823009	PPFIA2
236539_at	0.751	0.18366027	0.09921682	PTPN22
225818_s_at	0.751	0.18366189	0.23931087	TBRG1
243639_at	0.751	0.1836627	-0.14111814	
242533_at	0.751	0.18367621	-0.11431139	LMF1
217293_at	0.751	0.18368134	-0.1209687	
210152_at	0.751	0.18368274	0.17274623	LILRB4
228706_s_at	0.751	0.18369255	-0.1033237	CLDN23
