"X1XXXXXX11X11XX111X1X111XXXX1X11111X10000000000000000X000X00000"
ID	adj.P.Val	P.Value	t	B	logFC	Symbol
ILMN_1719835	1.10e-03	1.10e-04	-4.248741	0.7619278	-0.81169543	OSCP1
ILMN_2246134	1.10e-03	1.10e-04	-4.248696	0.7617914	-0.46395547	PDE4DIP
ILMN_2373010	1.10e-03	1.11e-04	4.247954	0.7595399	0.44360232	TMEM70
ILMN_1792660	1.11e-03	1.11e-04	4.24653	0.7552247	0.39609398	CAMSAP1L1
ILMN_2129927	1.11e-03	1.11e-04	4.246307	0.7545478	0.74959766	EXT1
ILMN_1780786	1.11e-03	1.12e-04	-4.244088	0.7478235	-0.851477	ASAH2
ILMN_1766723	1.11e-03	1.12e-04	4.243794	0.7469326	0.44431464	ACVR1B
ILMN_1676192	1.11e-03	1.12e-04	4.243445	0.7458736	0.12997119	SLC13A5
ILMN_1731107	1.11e-03	1.12e-04	-4.243364	0.7456293	-0.48701987	CCDC92
ILMN_1790781	1.12e-03	1.13e-04	4.241493	0.7399586	1.02233565	DHRS13
ILMN_1673820	1.12e-03	1.13e-04	-4.241258	0.7392466	-0.26038603	HLTF
ILMN_1812226	1.12e-03	1.13e-04	4.241109	0.7387937	0.72728978	ICAM1
ILMN_2134801	1.12e-03	1.13e-04	-4.240142	0.7358648	-0.58198167	AGXT2L1
ILMN_2090782	1.12e-03	1.13e-04	-4.240054	0.7355983	-0.40671522	GCSH
ILMN_1768958	1.12e-03	1.14e-04	-4.239952	0.7352885	-0.49308072	RASGRP1
ILMN_1695041	1.12e-03	1.14e-04	4.239706	0.734545	0.67807159	GATA6
ILMN_1803060	1.12e-03	1.14e-04	4.239625	0.7343002	0.34098979	MAML1
ILMN_1727300	1.12e-03	1.14e-04	-4.239558	0.7340967	-0.35995036	ZNF444
ILMN_1753819	1.13e-03	1.15e-04	4.237206	0.7269707	0.37777263	RFFL
ILMN_1744959	1.14e-03	1.15e-04	4.236158	0.7237967	0.37822694	NFX1
ILMN_3238254	1.14e-03	1.15e-04	4.236122	0.7236881	0.33963558	MRS2P2
ILMN_1780831	1.14e-03	1.15e-04	-4.235617	0.7221585	-0.96253647	SLC6A12
ILMN_1768816	1.14e-03	1.15e-04	4.235356	0.7213684	0.41882113	TMPO
ILMN_1814619	1.14e-03	1.16e-04	-4.233917	0.7170114	-0.59743259	ZNF33A
ILMN_2381064	1.14e-03	1.16e-04	-4.233105	0.7145537	-0.67709308	TPD52
ILMN_3239263	1.15e-03	1.16e-04	4.232518	0.7127767	0.46870112	RPL23AP53
ILMN_2406132	1.15e-03	1.16e-04	4.231872	0.7108205	0.75933623	LILRB3
ILMN_1738657	1.15e-03	1.17e-04	-4.231457	0.709564	-0.39480721	SATB2
ILMN_1732404	1.15e-03	1.17e-04	-4.231253	0.708949	-0.47530398	C2orf15
ILMN_1705676	1.15e-03	1.17e-04	-4.230664	0.7071661	-1.18167625	MRAP
ILMN_1804569	1.15e-03	1.17e-04	-4.230553	0.7068292	-0.62228367	GAS2
ILMN_1706598	1.15e-03	1.17e-04	-4.2304	0.7063669	-0.68680819	ACPL2
ILMN_1660837	1.16e-03	1.17e-04	-4.229221	0.702799	-0.20124673	CLCN3
ILMN_1771695	1.16e-03	1.18e-04	-4.22895	0.7019772	-0.73136158	RCBTB2
ILMN_2385220	1.16e-03	1.18e-04	-4.228229	0.6997951	-0.37576078	DFFA
ILMN_1803650	1.16e-03	1.18e-04	-4.228133	0.6995048	-0.34989679	MYCL1
ILMN_3249231	1.16e-03	1.18e-04	-4.227743	0.6983251	-0.74050359	LOC151534
ILMN_1741455	1.16e-03	1.18e-04	-4.227178	0.6966148	-0.71633148	USP30
ILMN_1807667	1.17e-03	1.19e-04	-4.225991	0.6930239	-0.37920903	C14orf105
ILMN_2381468	1.17e-03	1.19e-04	-4.225811	0.69248	-0.6380008	TFEC
ILMN_2133038	1.17e-03	1.19e-04	-4.223981	0.6869454	-0.45912873	UGT3A1
ILMN_1703686	1.17e-03	1.19e-04	4.223916	0.6867472	0.28814	BRF1
ILMN_2045175	1.17e-03	1.20e-04	-4.223543	0.68562	-0.63567517	ZNF691
ILMN_1774685	1.17e-03	1.20e-04	4.222801	0.6833754	1.23177628	IL24
ILMN_1680644	1.18e-03	1.20e-04	-4.222438	0.6822776	-0.20258881	MIOS
ILMN_1669928	1.18e-03	1.20e-04	-4.222054	0.6811166	-0.85831163	ARHGEF16
ILMN_2278819	1.18e-03	1.20e-04	-4.221696	0.6800317	-0.38026775	PDE7A
ILMN_1727970	1.18e-03	1.21e-04	-4.220561	0.6766004	-0.54564868	ONECUT1
ILMN_1703132	1.18e-03	1.21e-04	-4.220326	0.6758904	-0.80512876	LYRM2
ILMN_2394242	1.18e-03	1.21e-04	-4.220126	0.6752843	-0.50409581	AMMECR1
ILMN_1756238	1.18e-03	1.21e-04	4.219769	0.6742049	0.40497542	TMEM217
ILMN_1686748	1.18e-03	1.21e-04	-4.219746	0.6741359	-0.74095147	TMEM9
ILMN_1815937	1.18e-03	1.21e-04	-4.219665	0.673891	-0.40758764	TMEM184A
ILMN_1787186	1.19e-03	1.21e-04	4.218859	0.6714542	0.78076252	NOV
ILMN_1742250	1.19e-03	1.22e-04	4.218115	0.6692044	0.21454344	CCNH
ILMN_1754076	1.19e-03	1.22e-04	-4.21744	0.6671655	-0.56722311	CACNA2D3
ILMN_1723910	1.19e-03	1.22e-04	4.216663	0.6648166	0.5338897	WIT-1
ILMN_1764415	1.19e-03	1.22e-04	-4.216409	0.6640501	-0.55679726	ZNF585A
ILMN_1657662	1.19e-03	1.22e-04	-4.216387	0.6639824	-0.47164682	EXOD1
ILMN_2393060	1.20e-03	1.23e-04	-4.2155	0.6613012	-0.67365718	PPIL3
ILMN_2082273	1.20e-03	1.23e-04	4.215191	0.6603662	0.42704727	RGS5
ILMN_2089458	1.20e-03	1.23e-04	-4.215146	0.6602322	-0.45977071	SASS6
ILMN_1787897	1.20e-03	1.24e-04	4.213011	0.6537796	0.89745419	CXCL1
ILMN_1689817	1.20e-03	1.24e-04	4.212926	0.6535247	0.39885653	LCOR
ILMN_1676600	1.21e-03	1.24e-04	-4.212057	0.650899	-0.44206371	SEC24C
ILMN_1671207	1.21e-03	1.24e-04	-4.21192	0.6504848	-0.17195935	IARS2
ILMN_2184250	1.21e-03	1.24e-04	4.21156	0.6493968	1.17036872	SERPINB9
ILMN_1782439	1.21e-03	1.24e-04	4.211462	0.6490999	0.19656007	CNN3
ILMN_2049642	1.21e-03	1.24e-04	-4.211381	0.6488549	-0.27952781	RPA1
ILMN_3244319	1.21e-03	1.24e-04	-4.211282	0.648556	-0.49789143	CCDC125
ILMN_1731525	1.21e-03	1.24e-04	4.211215	0.6483525	0.30921943	GJB3
ILMN_1657769	1.21e-03	1.24e-04	4.210757	0.6469715	0.40985396	EIF5
ILMN_1734440	1.21e-03	1.25e-04	-4.209847	0.6442227	-0.46369496	C14orf133
ILMN_2381537	1.21e-03	1.25e-04	4.209587	0.6434351	0.54460493	CRCP
ILMN_1795911	1.21e-03	1.25e-04	-4.209584	0.6434278	-0.18881932	TTC37
ILMN_1796146	1.21e-03	1.25e-04	-4.209133	0.6420647	-0.71303363	EIF4E3
ILMN_1808597	1.22e-03	1.25e-04	-4.208547	0.6402941	-0.44445481	APLF
ILMN_1694759	1.22e-03	1.26e-04	-4.20743	0.6369225	-0.62268855	C19orf42
ILMN_2296697	1.22e-03	1.26e-04	4.207369	0.6367367	0.43849158	MAP3K3
ILMN_2166457	1.22e-03	1.26e-04	-4.207182	0.6361725	-0.42790591	HPGD
ILMN_1782579	1.22e-03	1.26e-04	-4.2069	0.6353211	-0.23690903	IMMT
ILMN_2119774	1.22e-03	1.26e-04	-4.206785	0.6349729	-0.3691855	CYP2R1
ILMN_1793514	1.22e-03	1.26e-04	-4.206527	0.634195	-0.56385532	RPTOR
ILMN_1777579	1.22e-03	1.26e-04	4.206224	0.633281	0.62171595	TIGD1
ILMN_1751569	1.22e-03	1.26e-04	-4.205604	0.631409	-0.35974772	C1orf173
ILMN_3236498	1.23e-03	1.27e-04	-4.204935	0.6293875	-0.69130135	LOC253039
ILMN_2373566	1.23e-03	1.27e-04	-4.204163	0.6270587	-0.47121881	PJA1
ILMN_2404539	1.23e-03	1.27e-04	-4.203208	0.624175	-0.23147248	C20orf30
ILMN_2136455	1.23e-03	1.27e-04	4.203107	0.6238685	0.37195398	C3orf64
ILMN_2407703	1.23e-03	1.28e-04	4.202925	0.623321	0.9544668	SYN1
ILMN_2273224	1.23e-03	1.28e-04	4.202671	0.6225536	0.5739629	SLC4A5
ILMN_1743205	1.23e-03	1.28e-04	-4.202563	0.6222273	-0.52903026	ABCA7
ILMN_1727184	1.23e-03	1.28e-04	4.202435	0.6218409	0.25120409	WDR36
ILMN_1781281	1.23e-03	1.28e-04	-4.202143	0.6209605	-0.54045983	EPPB9
ILMN_1695299	1.23e-03	1.28e-04	4.201865	0.6201197	0.75559705	PDLIM3
ILMN_2094905	1.24e-03	1.28e-04	-4.201356	0.6185837	-0.63393364	COMMD10
ILMN_1685916	1.24e-03	1.29e-04	-4.199307	0.6124011	-0.29246251	KIF2C
ILMN_1724181	1.24e-03	1.29e-04	-4.198853	0.6110315	-0.38425153	IL15
ILMN_2355033	1.25e-03	1.29e-04	-4.19821	0.6090921	-0.30772703	KIAA1147
ILMN_1666761	1.25e-03	1.30e-04	4.196778	0.6047722	0.25793748	PPP2R5E
ILMN_2217935	1.25e-03	1.30e-04	-4.196632	0.6043297	-0.44591669	RFC1
ILMN_1744403	1.25e-03	1.30e-04	-4.196466	0.6038288	-0.3569719	KCNIP3
ILMN_3241369	1.26e-03	1.31e-04	4.194725	0.5985781	0.71731621	SNORD91A
ILMN_1808797	1.26e-03	1.31e-04	4.193355	0.5944465	0.51494196	SAC
ILMN_2354381	1.27e-03	1.32e-04	-4.192178	0.5908979	-0.29702897	PON2
ILMN_2247868	1.27e-03	1.32e-04	4.191587	0.5891148	0.30093672	NFKB2
ILMN_2370588	1.28e-03	1.33e-04	-4.18933	0.5823123	-0.46358125	TRIOBP
ILMN_2104356	1.28e-03	1.33e-04	-4.188529	0.579897	-0.71871654	COL1A2
ILMN_1769550	1.28e-03	1.33e-04	-4.188484	0.5797624	-0.48700203	SLFN5
ILMN_1676626	1.28e-03	1.34e-04	-4.188365	0.579402	-0.7881469	ARID4A
ILMN_1679405	1.28e-03	1.34e-04	4.188349	0.5793561	0.43935058	DDX56
ILMN_3310291	1.28e-03	1.34e-04	4.187932	0.5780977	0.29667022	MIR645
ILMN_2255877	1.28e-03	1.34e-04	4.187796	0.5776867	0.59535813	OSGIN1
ILMN_1760635	1.28e-03	1.34e-04	-4.186988	0.5752515	-0.4113972	RAD51C
ILMN_2130003	1.29e-03	1.34e-04	4.186152	0.5727329	0.48028605	CCBL2
ILMN_1770127	1.29e-03	1.35e-04	4.18575	0.5715214	0.21254748	DNAJA2
ILMN_1738681	1.30e-03	1.35e-04	-4.184061	0.5664327	-0.3587176	NUP62
ILMN_1813671	1.30e-03	1.36e-04	-4.183649	0.5651921	-0.33339727	SLC25A1
ILMN_1717052	1.30e-03	1.36e-04	-4.183007	0.5632576	-0.65172466	STARD10
ILMN_1737599	1.30e-03	1.36e-04	-4.182751	0.5624862	-0.6205411	TRIM5
ILMN_2364272	1.30e-03	1.36e-04	4.182357	0.5612993	0.3135228	MBNL2
ILMN_1686920	1.30e-03	1.36e-04	-4.181677	0.5592514	-0.26627433	CCDC58
ILMN_2140059	1.30e-03	1.36e-04	-4.181618	0.5590732	-0.61245799	LAMA4
ILMN_1798475	1.30e-03	1.36e-04	4.181517	0.5587693	0.61553451	CSF2RB
ILMN_1678968	1.31e-03	1.37e-04	4.179068	0.5513929	0.58268804	GEM
ILMN_1704253	1.31e-03	1.38e-04	-4.178803	0.5505964	-0.26257559	C6orf106
ILMN_1798108	1.32e-03	1.38e-04	-4.17782	0.5476352	-0.86889609	C6orf211
ILMN_2139827	1.32e-03	1.38e-04	-4.177122	0.5455348	-0.50630249	FAM54A
ILMN_1698677	1.32e-03	1.39e-04	-4.176476	0.5435884	-0.41014818	C4orf27
ILMN_1703984	1.33e-03	1.39e-04	-4.174709	0.53827	-0.37876379	TIGD6
ILMN_1785170	1.33e-03	1.40e-04	-4.174007	0.536159	-0.78058643	ARMCX2
ILMN_1651286	1.33e-03	1.40e-04	4.173882	0.5357801	0.73816065	GRHL1
ILMN_1774800	1.33e-03	1.40e-04	4.173752	0.5353899	0.24880096	KTELC1
ILMN_1797408	1.33e-03	1.40e-04	-4.173238	0.5338428	-0.50527864	NKAPL
ILMN_1769229	1.33e-03	1.40e-04	4.173137	0.5335402	1.23477893	BCL2A1
ILMN_2368530	1.33e-03	1.40e-04	-4.173032	0.5332238	-0.62545038	IL32
ILMN_1792538	1.34e-03	1.41e-04	-4.171651	0.5290661	-0.70720064	CD7
ILMN_1744113	1.34e-03	1.41e-04	-4.171347	0.528153	-0.66735185	TNFAIP8L2
ILMN_2082489	1.34e-03	1.41e-04	-4.170791	0.5264797	-0.48728228	PRMT7
ILMN_1654068	1.34e-03	1.41e-04	-4.170754	0.5263693	-0.52520314	NUDT1
ILMN_1755004	1.34e-03	1.41e-04	4.170455	0.5254694	0.67830418	SNORD27
ILMN_3247452	1.34e-03	1.41e-04	-4.170428	0.5253867	-0.21848067	LOC100128731
ILMN_2038775	1.34e-03	1.41e-04	-4.170312	0.5250383	-0.67507053	TUBB2A
ILMN_1655068	1.35e-03	1.42e-04	4.168345	0.5191218	0.35960249	TOM1L2
ILMN_2267488	1.35e-03	1.42e-04	-4.167656	0.5170494	-0.6568967	ITGA6
ILMN_1657423	1.35e-03	1.43e-04	-4.167497	0.5165696	-0.41931952	SPG21
ILMN_1756220	1.35e-03	1.43e-04	4.167485	0.5165339	0.24342344	DDX18
ILMN_1719344	1.35e-03	1.43e-04	4.166747	0.5143136	0.37626415	LOC730820
ILMN_2067101	1.35e-03	1.43e-04	4.16669	0.5141447	0.57165473	POLR1B
ILMN_2296510	1.36e-03	1.43e-04	-4.16554	0.510684	-1.39045534	SLC5A12
ILMN_1733863	1.36e-03	1.44e-04	4.165032	0.5091571	0.66993082	FAM100A
ILMN_2082865	1.36e-03	1.44e-04	-4.164438	0.5073697	-0.52732532	PLLP
ILMN_3247893	1.37e-03	1.44e-04	-4.163679	0.5050888	-0.57667881	F8A2
ILMN_1654504	1.37e-03	1.45e-04	4.163157	0.503521	0.52393947	CLEC7A
ILMN_2413141	1.37e-03	1.45e-04	-4.161811	0.4994744	-0.70450448	C6orf162
ILMN_2359029	1.37e-03	1.45e-04	-4.161585	0.4987934	-0.81808006	C11orf17
ILMN_1743635	1.38e-03	1.46e-04	-4.15952	0.4925877	-0.40472987	ALG14
ILMN_1781182	1.38e-03	1.46e-04	4.159258	0.4918011	0.85858281	RAB43
ILMN_1747160	1.38e-03	1.47e-04	4.158633	0.4899229	0.73381092	SYT15
ILMN_1684887	1.38e-03	1.47e-04	4.158386	0.4891799	0.49784963	SAMSN1
ILMN_1693060	1.39e-03	1.47e-04	4.157677	0.4870504	0.85283958	VEGFA
ILMN_1693431	1.39e-03	1.48e-04	-4.156246	0.4827502	-0.73068821	C13orf31
ILMN_2135456	1.40e-03	1.48e-04	4.15544	0.4803283	0.93250739	FLJ32784
ILMN_1750967	1.40e-03	1.48e-04	-4.155232	0.4797042	-0.69848352	ZKSCAN3
ILMN_2342541	1.40e-03	1.49e-04	4.153975	0.4759264	0.9841524	TAC1
ILMN_2377019	1.40e-03	1.49e-04	-4.153577	0.4747317	-0.54044056	CORO1B
ILMN_1782412	1.40e-03	1.49e-04	4.15349	0.4744699	0.74363297	IRX2
ILMN_1707326	1.41e-03	1.49e-04	-4.152364	0.4710882	-0.57570708	TASP1
ILMN_2052717	1.41e-03	1.50e-04	-4.151129	0.4673813	-0.8826319	GRAMD1C
ILMN_1737943	1.41e-03	1.50e-04	4.150501	0.4654954	0.58653603	THPO
ILMN_2098743	1.41e-03	1.50e-04	-4.150482	0.4654365	-0.25960767	THEM2
ILMN_1792712	1.42e-03	1.51e-04	-4.149387	0.462151	-0.3771029	LOC201725
ILMN_3247256	1.42e-03	1.51e-04	4.149265	0.4617852	0.60402361	LOC646996
ILMN_2325837	1.42e-03	1.51e-04	-4.149231	0.4616827	-0.72445178	CD3D
ILMN_1712628	1.42e-03	1.51e-04	-4.148897	0.4606798	-0.86747615	GTF2IRD1
ILMN_1652959	1.42e-03	1.51e-04	-4.148719	0.460144	-0.30951901	ABCD2
ILMN_2132379	1.44e-03	1.53e-04	-4.145103	0.4492905	-0.8116858	TDGF1
ILMN_1762990	1.44e-03	1.53e-04	-4.144937	0.448794	-0.45435015	KIAA0141
ILMN_1710682	1.44e-03	1.53e-04	-4.144584	0.4477345	-0.6561531	SUOX
ILMN_2374633	1.44e-03	1.53e-04	-4.144479	0.4474183	-0.35829837	ZWILCH
ILMN_2256359	1.44e-03	1.53e-04	-4.144076	0.4462088	-0.41016295	HSZFP36
ILMN_1740291	1.44e-03	1.53e-04	-4.143937	0.4457934	-0.24833799	POLQ
ILMN_2409062	1.44e-03	1.54e-04	-4.142854	0.4425434	-0.25782784	ISCU
ILMN_2309245	1.44e-03	1.54e-04	-4.142707	0.4421027	-0.67256943	BIN1
ILMN_3223798	1.44e-03	1.54e-04	-4.142569	0.441687	-0.54857708	ZNF84
ILMN_1730304	1.44e-03	1.54e-04	-4.142369	0.4410893	-0.56960828	ALG10B
ILMN_2334587	1.45e-03	1.54e-04	4.141842	0.4395065	0.19015829	HNRNPC
ILMN_2328433	1.45e-03	1.55e-04	4.141663	0.4389711	0.94371616	NOP2
ILMN_2408440	1.45e-03	1.55e-04	-4.141341	0.4380059	-0.77823289	TRAPPC2
ILMN_1811103	1.45e-03	1.55e-04	4.140851	0.4365336	0.55270015	PCDHGB5
ILMN_1807088	1.45e-03	1.55e-04	-4.140715	0.4361271	-0.29992792	TTC33
ILMN_2321931	1.45e-03	1.55e-04	-4.14071	0.4361106	-0.34780928	DCLRE1C
ILMN_2364700	1.45e-03	1.55e-04	-4.140527	0.4355622	-0.19238771	ENSA
ILMN_1715748	1.45e-03	1.56e-04	4.139728	0.4331676	1.24574205	FLNC
ILMN_1784630	1.45e-03	1.56e-04	4.13952	0.4325435	0.33616933	KBTBD11
ILMN_1793990	1.45e-03	1.56e-04	4.139502	0.4324884	0.35579598	ID2
ILMN_1765116	1.45e-03	1.56e-04	-4.138818	0.4304382	-0.54090001	PAOX
ILMN_2184262	1.46e-03	1.56e-04	-4.138183	0.4285336	-0.74422797	OAS3
ILMN_2402674	1.46e-03	1.57e-04	-4.137697	0.4270752	-0.31606118	DPM3
ILMN_2299862	1.46e-03	1.57e-04	4.137072	0.4252027	0.39151416	KCNH1
ILMN_1798360	1.46e-03	1.57e-04	4.136823	0.4244555	0.89630318	CXCR7
ILMN_3251501	1.46e-03	1.57e-04	-4.136467	0.423389	-0.33091498	SERF2
ILMN_3245062	1.46e-03	1.57e-04	-4.136313	0.4229244	-0.45796319	SHROOM3
ILMN_2384629	1.46e-03	1.57e-04	-4.136263	0.4227757	-0.41531974	RGS12
ILMN_2155172	1.46e-03	1.57e-04	4.135888	0.4216529	0.48003965	BRIX1
ILMN_1686989	1.47e-03	1.58e-04	4.133916	0.4157407	0.38598711	INSIG1
ILMN_1733997	1.47e-03	1.58e-04	4.133886	0.4156502	0.83414412	SIRPB1
ILMN_1657679	1.48e-03	1.59e-04	-4.132539	0.4116144	-0.57477258	VAV3
ILMN_1727051	1.48e-03	1.59e-04	4.132172	0.4105124	0.46138107	DDX19A
ILMN_1657087	1.48e-03	1.59e-04	-4.131646	0.4089372	-0.84781171	ZNF533
ILMN_1687351	1.48e-03	1.60e-04	-4.131609	0.4088252	-0.27379081	ANKRA2
ILMN_2158705	1.48e-03	1.60e-04	-4.13144	0.4083183	-0.23138493	ACYP2
ILMN_1726437	1.48e-03	1.60e-04	4.13103	0.4070896	0.48602831	EFCAB3
ILMN_1677376	1.48e-03	1.60e-04	4.130989	0.4069671	0.31352393	CHD7
ILMN_2405642	1.48e-03	1.60e-04	-4.13095	0.4068506	-0.55945637	DHDDS
ILMN_1705685	1.48e-03	1.60e-04	-4.130934	0.406802	-0.58078121	MEIS1
ILMN_1672417	1.48e-03	1.60e-04	-4.130268	0.4048072	-0.83314583	PTPRCAP
ILMN_1741264	1.49e-03	1.60e-04	-4.129646	0.4029451	-0.24671854	MRPS33
ILMN_1722206	1.49e-03	1.61e-04	-4.129153	0.401467	-0.54070905	MAF
ILMN_2121316	1.49e-03	1.61e-04	-4.128866	0.4006061	-0.72747547	SCYL1BP1
ILMN_1759003	1.49e-03	1.61e-04	-4.128488	0.3994743	-0.49776758	SNX12
ILMN_1704785	1.49e-03	1.61e-04	-4.128322	0.398979	-0.8766293	C10orf125
ILMN_1793040	1.49e-03	1.61e-04	-4.12789	0.3976822	-0.36579739	ADAMTSL5
ILMN_1800731	1.49e-03	1.62e-04	-4.127587	0.3967753	-0.5487287	MBD5
ILMN_1798880	1.50e-03	1.62e-04	4.126626	0.3938966	0.64684803	RPA4
ILMN_1810324	1.50e-03	1.62e-04	-4.126555	0.3936837	-0.55005466	SGCB
ILMN_2337618	1.50e-03	1.63e-04	-4.125671	0.3910372	-0.54213137	GPRASP2
ILMN_3240389	1.50e-03	1.63e-04	-4.125442	0.3903518	-0.88114358	CPOX
ILMN_2150851	1.50e-03	1.63e-04	4.125256	0.3897957	1.14790807	SERPINB2
ILMN_1731966	1.50e-03	1.63e-04	4.124918	0.388783	0.4410397	LEPR
ILMN_2267104	1.51e-03	1.63e-04	4.124008	0.3860575	0.44861159	PAIP2
ILMN_2199926	1.51e-03	1.63e-04	4.12396	0.385913	0.78427805	OR7E37P
ILMN_1782993	1.51e-03	1.63e-04	4.123771	0.3853469	0.90749293	DHODH
ILMN_1745423	1.51e-03	1.64e-04	4.123697	0.3851259	0.37214755	UTP3
ILMN_3239240	1.51e-03	1.64e-04	-4.12312	0.3833972	-0.568117	POLR2E
ILMN_1761147	1.51e-03	1.64e-04	4.122471	0.3814544	0.27775896	GABPB2
ILMN_3228585	1.51e-03	1.64e-04	-4.122273	0.3808635	-0.42253514	LOC728661
ILMN_2414135	1.51e-03	1.64e-04	4.122175	0.3805688	0.77498288	PLP1
ILMN_2251114	1.51e-03	1.64e-04	-4.122151	0.3804964	-0.64133494	Septin 4
ILMN_2215061	1.52e-03	1.65e-04	4.121257	0.3778219	0.74850058	ORC6L
ILMN_3234784	1.52e-03	1.65e-04	-4.121153	0.3775105	-0.56437847	NLRC3
ILMN_1674160	1.52e-03	1.65e-04	-4.120997	0.3770444	-0.4915466	BIN1
ILMN_1671158	1.52e-03	1.65e-04	-4.120864	0.3766451	-0.30208902	MRPL13
ILMN_1759277	1.52e-03	1.65e-04	-4.120677	0.3760866	-0.62903873	OIP5
ILMN_2133205	1.52e-03	1.65e-04	-4.120271	0.3748707	-0.85418803	GPX2
ILMN_2078995	1.52e-03	1.65e-04	-4.120036	0.3741656	-0.97700931	CSRNP3
ILMN_1671809	1.52e-03	1.65e-04	4.119836	0.3735673	0.36255299	DUSP22
ILMN_1766185	1.52e-03	1.66e-04	4.119762	0.3733479	0.47803299	AXIN1
ILMN_1684391	1.52e-03	1.66e-04	-4.119393	0.3722432	-0.29589896	PLOD1
ILMN_1745887	1.52e-03	1.66e-04	4.119045	0.3711999	0.46992101	FBXO21
ILMN_1693218	1.52e-03	1.66e-04	4.11844	0.3693914	0.65139332	ART3
ILMN_1704980	1.53e-03	1.66e-04	-4.118184	0.3686229	-0.53386911	ERI3
ILMN_1788878	1.53e-03	1.67e-04	-4.11741	0.3663094	-0.54095181	MORN4
ILMN_1808566	1.53e-03	1.67e-04	-4.117271	0.3658935	-0.83468213	TMEM180
ILMN_2214098	1.53e-03	1.67e-04	-4.117176	0.3656065	-0.68972058	BIVM
ILMN_1703049	1.53e-03	1.67e-04	4.11646	0.3634663	0.35294222	AKAP7
ILMN_1705331	1.53e-03	1.67e-04	4.116402	0.363292	0.33680873	ZNHIT3
ILMN_2073012	1.54e-03	1.68e-04	-4.115463	0.3604821	-0.31549535	TMEM203
ILMN_1730631	1.54e-03	1.68e-04	-4.114492	0.3575793	-0.43791244	C2orf44
ILMN_1731518	1.55e-03	1.69e-04	-4.113042	0.3532411	-0.53345206	PLD6
ILMN_1724293	1.55e-03	1.69e-04	-4.11275	0.3523688	-0.31276777	KDELR2
ILMN_1701213	1.55e-03	1.69e-04	-4.112368	0.3512263	-0.3994633	PIP4K2B
ILMN_1716019	1.55e-03	1.69e-04	4.112274	0.3509444	0.38240919	RHBDL3
ILMN_1805330	1.55e-03	1.70e-04	-4.112024	0.3501952	-0.42157441	KLHL26
ILMN_1683950	1.55e-03	1.70e-04	-4.112012	0.350161	-0.33363652	SNX11
ILMN_1813746	1.55e-03	1.70e-04	-4.111358	0.3482054	-0.529306	CORO2A
ILMN_1786843	1.55e-03	1.70e-04	4.111135	0.3475394	0.57500178	KCTD13
ILMN_1664440	1.55e-03	1.70e-04	-4.111135	0.3475376	-0.40483292	TP53BP1
ILMN_1682208	1.55e-03	1.70e-04	-4.110967	0.3470358	-0.40160699	CACNB2
ILMN_1653480	1.55e-03	1.70e-04	-4.110884	0.3467874	-0.56753313	KENAE
ILMN_2142284	1.55e-03	1.70e-04	-4.110714	0.3462784	-0.5191597	SLC25A43
ILMN_1806754	1.55e-03	1.70e-04	-4.110299	0.3450382	-0.37446491	GLDC
ILMN_2400940	1.55e-03	1.71e-04	-4.110136	0.34455	-0.26727874	L3MBTL
ILMN_3248773	1.56e-03	1.71e-04	4.109653	0.3431059	0.98036412	C7orf40
ILMN_1713835	1.56e-03	1.71e-04	-4.109045	0.3412892	-0.74288459	ENHO
ILMN_1761844	1.56e-03	1.71e-04	-4.108658	0.3401317	-0.49403484	ZCCHC17
ILMN_2363027	1.56e-03	1.72e-04	4.107548	0.3368143	0.86799321	RAD51
ILMN_1742976	1.57e-03	1.72e-04	-4.107018	0.3352301	-0.40023248	ZFP30
ILMN_1792415	1.57e-03	1.72e-04	-4.106903	0.3348875	-0.24123471	C3orf39
ILMN_2412549	1.57e-03	1.73e-04	4.106475	0.3336082	0.26776362	GAR1
ILMN_1759297	1.57e-03	1.73e-04	-4.106475	0.3336078	-0.80159399	PATZ1
ILMN_1669818	1.57e-03	1.73e-04	-4.106416	0.3334321	-0.3645742	ESD
ILMN_1671004	1.57e-03	1.73e-04	-4.105681	0.3312348	-0.60066656	POLG2
ILMN_1724145	1.57e-03	1.73e-04	-4.105074	0.3294206	-0.6567047	CBX4
ILMN_1789196	1.58e-03	1.74e-04	4.104445	0.327539	0.86384343	TPM2
ILMN_1657058	1.58e-03	1.74e-04	4.103953	0.3260695	0.60877979	PPIL6
ILMN_1724474	1.58e-03	1.74e-04	-4.103613	0.3250541	-0.81965599	CARD16
ILMN_1806508	1.58e-03	1.74e-04	-4.103521	0.3247806	-0.86789071	B4GALT2
ILMN_1665280	1.58e-03	1.74e-04	-4.102983	0.3231718	-0.15220299	SPCS1
ILMN_1700340	1.58e-03	1.74e-04	-4.102949	0.3230716	-0.66325039	ASGR2
ILMN_2208373	1.58e-03	1.75e-04	-4.102147	0.3206733	-0.33606759	TMEM164
ILMN_2370160	1.59e-03	1.75e-04	-4.101795	0.3196235	-0.31129879	HERC4
ILMN_1802082	1.59e-03	1.75e-04	4.101668	0.3192452	0.5685154	PRDM8
ILMN_1803988	1.59e-03	1.75e-04	4.101478	0.3186748	0.92689986	MCL1
ILMN_1786273	1.59e-03	1.76e-04	-4.100922	0.3170151	-0.36975965	C1orf122
